Timestamp,M1_Pressure,M1_Pressure_Flag,M1_Plunger_Position,M1_Valve_Position,M2_Pressure,M2_Pressure_Flag,M2_Plunger_Position,M2_Valve_Position,M3_Pressure,M3_Pressure_Flag,M3_Plunger_Position,M3_Valve_Position,M4_Pressure,M4_Pressure_Flag,M4_Plunger_Position,M4_Valve_Position,M5_Pressure,M5_Pressure_Flag,M5_Plunger_Position,M5_Valve_Position,M6_Pressure,M6_Pressure_Flag,M6_Plunger_Position,M6_Valve_Position
2025-09-22 13:10:15.279143,0.0,False,-24.24,1,0.0,False,-24.826666666666668,1,1.7573437690734863,False,-24.8,1,0.0,False,-24.92,1,-242.43798828125,False,-24.24,1,-1.7531392574310303,False,-24.69333333333333,1
2025-09-22 13:10:15.300271,-1.7339859008789062,False,-24.24,1,0.0,False,-24.826666666666668,1,1.7573437690734863,False,-24.8,1,0.0,False,-24.92,1,-244.21917724609375,False,-25.133333333333333,1,-1.7531392574310303,False,-24.69333333333333,1
2025-09-22 13:10:15.320229,-1.7339859008789062,False,-25.133333333333333,1,0.0,False,-24.826666666666668,1,1.7573437690734863,False,-24.8,1,0.0,False,-24.92,1,-244.21917724609375,False,-25.133333333333333,1,-1.7531392574310303,False,-25.57333333333333,1
2025-09-22 13:10:15.340692,-1.7339859008789062,False,-25.133333333333333,1,0.0,False,-25.72,1,1.7573437690734863,False,-24.8,1,0.0,False,-24.92,1,-242.43798828125,False,-25.133333333333333,1,0.0,False,-25.57333333333333,1
2025-09-22 13:10:15.361365,0.0,False,-25.133333333333333,1,0.0,False,-25.72,1,1.7573437690734863,False,-25.69333333333333,1,0.0,False,-25.813333333333333,1,-244.21917724609375,False,-25.133333333333333,1,0.0,False,-25.57333333333333,1
2025-09-22 13:10:15.381468,0.0,False,-25.133333333333333,1,0.0,False,-25.72,1,1.7573437690734863,False,-25.69333333333333,1,0.0,False,-25.813333333333333,1,-242.43798828125,False,-26.04,1,0.0,False,-25.57333333333333,1
2025-09-22 13:10:15.402283,0.0,False,-25.133333333333333,1,0.0,False,-25.72,1,1.7573437690734863,False,-25.69333333333333,1,0.0,False,-25.813333333333333,1,-242.43798828125,False,-26.04,1,-1.7531392574310303,False,-26.466666666666665,1
2025-09-22 13:10:15.422946,0.0,False,-25.133333333333333,1,0.0,False,-25.72,1,1.7573437690734863,False,-25.69333333333333,1,0.0,False,-25.813333333333333,1,-244.21917724609375,False,-26.04,1,-1.7531392574310303,False,-26.466666666666665,1
2025-09-22 13:10:15.443206,0.0,False,-26.013333333333332,1,0.0,False,-26.626666666666665,1,1.7573437690734863,False,-26.6,1,0.0,False,-25.813333333333333,1,-244.21917724609375,False,-26.04,1,-1.7531392574310303,False,-26.466666666666665,1
2025-09-22 13:10:15.463319,0.0,False,-26.013333333333332,1,0.0,False,-26.626666666666665,1,1.7573437690734863,False,-26.6,1,0.0,False,-26.706666666666663,1,-242.43798828125,False,-26.04,1,0.0,False,-26.466666666666665,1
2025-09-22 13:10:15.483477,0.0,False,-26.013333333333332,1,0.0,False,-26.626666666666665,1,1.7573437690734863,False,-26.6,1,0.0,False,-26.706666666666663,1,-244.21917724609375,False,-26.933333333333334,1,0.0,False,-26.466666666666665,1
2025-09-22 13:10:15.506305,0.0,False,-26.013333333333332,1,0.0,False,-26.626666666666665,1,1.7573437690734863,False,-26.6,1,0.0,False,-26.706666666666663,1,-244.21917724609375,False,-26.933333333333334,1,0.0,False,-27.360000000000003,1
2025-09-22 13:10:15.524304,0.0,False,-26.013333333333332,1,0.0,False,-26.626666666666665,1,1.7573437690734863,False,-26.6,1,0.0,False,-26.706666666666663,1,-242.43798828125,False,-26.933333333333334,1,0.0,False,-27.360000000000003,1
2025-09-22 13:10:15.544446,0.0,False,-26.013333333333332,1,0.0,False,-26.626666666666665,1,1.7573437690734863,False,-26.6,1,0.0,False,-26.706666666666663,1,-242.43798828125,False,-26.933333333333334,1,-1.7531392574310303,False,-27.360000000000003,1
2025-09-22 13:10:15.564643,0.0,False,-26.013333333333332,1,0.0,False,-26.626666666666665,1,1.7573437690734863,False,-26.6,1,0.0,False,-26.706666666666663,1,-244.21917724609375,False,-26.933333333333334,1,0.0,False,-27.360000000000003,1
2025-09-22 13:10:15.585380,0.0,False,-26.013333333333332,1,0.0,False,-26.626666666666665,1,1.7573437690734863,False,-26.6,1,0.0,False,-26.706666666666663,1,-244.21917724609375,False,-26.933333333333334,1,0.0,False,-27.360000000000003,1
2025-09-22 13:10:15.605977,0.0,False,-27.799999999999997,1,0.0,False,-26.626666666666665,1,1.7573437690734863,False,-26.6,1,0.0,False,-26.706666666666663,1,-242.43798828125,False,-26.933333333333334,1,-1.7531392574310303,False,-27.360000000000003,1
2025-09-22 13:10:15.625993,0.0,False,-27.799999999999997,1,0.0,False,-26.626666666666665,1,1.7573437690734863,False,-26.6,1,0.0,False,-26.706666666666663,1,-242.43798828125,False,-26.933333333333334,1,-1.7531392574310303,False,-27.360000000000003,1
2025-09-22 13:10:15.646167,-1.7339859008789062,False,-27.799999999999997,1,0.0,False,-28.4,1,1.7573437690734863,False,-28.386666666666667,1,0.0,False,-26.706666666666663,1,-244.21917724609375,False,-26.933333333333334,1,0.0,False,-27.360000000000003,1
2025-09-22 13:10:15.666628,-1.7339859008789062,False,-27.799999999999997,1,0.0,False,-28.4,1,1.7573437690734863,False,-28.386666666666667,1,0.0,False,-28.506666666666668,1,-242.43798828125,False,-28.72,1,0.0,False,-27.360000000000003,1
